JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2459945.520,0.3,,,Vis.,MQA,U,0.9,,AAVSO,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2459945.8226,2.284,0.007,,B,CTOA,,SAO 112958,SAO 113186,PEP,|SCOPE=9.25IN_SCT|SENSOR=SSP3|LOC=44N/121W|INDEX=BV|DELTA=0.908|K_B=0.27|KK_B=-0.041|TB_BV=0.098|CREFMAG=5.039|PROG=TJC_PEP_20221030|COMMENT=16 BIT OVERFLOWS CORRECTED|,1,1.25,Z,-2.858,-0.626,,ALF ORI,AAVSO,STD,,,,
2459945.8232,0.419,0.008,,V,CTOA,,SAO 112958,SAO 113186,PEP,|SCOPE=9.25IN_SCT|SENSOR=SSP3|LOC=44N/121W|INDEX=BV|DELTA=0.908|K_V=0.17|TV_BV=-0.031|CREFMAG=4.082|PROG=TJC_PEP_20221030|COMMENT=16 BIT OVERFLOWS CORRECTED|,1,1.25,Z,-3.703,-1.811,,ALF ORI,AAVSO,STD,,,,
2459945.9,0.6,,,Vis.,SWV,,NA,,NA,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2459946.37153,0.2,,,Vis.,MVO,,01,04,080101,,,,Z,,,,alf ori,URSA,STD,,,,
2459946.472,0.3,,,Vis.,MQA,BU,0.9,,AAVSO,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2459946.94,0.22,,,Vis.,ERW,BK,0.18  beta Ori,0.40 alpha CMi,Skymap,Naked eye,,,Z,,,,alpha Ori,RASNZ-VSS,STD,,,,
2459946.992,0.1,,,Vis.,ONOB,,04,,ALPHA CMI,NAKED EYE,,,Z,,,,ALF ORI,VSOLJ,STD,,,,
2459947.27083,0.33,,,Vis.,BCAD,BU,0.1,0.9,10 star tutorial,Observation from Kostanay/ Kazakhstan.,,,Z,,,,Betelgeuse,,STD,,,,
2459947.291,0.3,,,Vis.,MQA,B,0.9,,AAVSO,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2459947.4,0.7,,,Vis.,JTP,Z,NA,,NA,,,,Z,,,,ALF ORI,AFOEV,STD,,,,
2459947.4569,0.2,,,Vis.,VFK,,01,09,SELFM,BL. AUGE,,,Z,,,,ALF ORI,BAV,STD,,,,
2459947.5000,0.2,,,Vis.,CFL,,01,09,10 STAR TUTORIAL,NAKED EYE,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2459947.67083,0.6,,,Vis.,HUZ,,01,09,10-star tutorial,,,,Z,,,,alp Ori,AAVSO,STD,,,,
2459948.13889,0.3,,,Vis.,SYRA,B,alf CMi,bet Ori,VSP,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2459948.180,0.3,,,Vis.,MQA,B,0.9,,AAVSO,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2459948.21181,0.35,,,Vis.,BCAD,BW,0.1,0.9,10 star tutorial,Observation from Kostanay/ Kazakhstan.,,,Z,,,,Betelgeuse,,STD,,,,
2459948.3229,0.2,,,Vis.,VFK,,01,09,SELFM,BL. AUGE,,,Z,,,,ALF ORI,BAV,STD,,,,
2459948.378,0.2,,,Vis.,WBOA,,0.1 Riegel,0.3 procyon,X24963 ATG,,,,Z,,,,alpha ori,AAVSO,STD,,,,
2459948.38889,0.25,,,Vis.,MPIB,B,0.15 (Rigel),0.4 (Procyon),Stellarium 0.18.2,"""Clear sky, strong Moonlight. Naked eye observation. """,,,Z,,,,Betelgeuse,AAVSO,STD,,,,
2459948.5069,0.3,,,Vis.,LCR,,01,"""09,12""",TYCHO2,,,,Z,,,,Alf Ori,AASABADELL,STD,,,,
2459948.8750,0.4,,,Vis.,SSU,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2459949.58125,0.4,,,Vis.,CKB,,01,09,13170BMV,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2459949.58333,0.3,,,Vis.,ALRB,B,"""0,15""","""0,36""",10star tutorial,10 star tutorial,,,Z,,,,Betelgeuse,,STD,,,,
2459949.607,0.3,,,Vis.,AAX,BK,1,9,ATLAS,MOON BSC,,,Z,,,,ALF ORI,NEOA-JBS,STD,,,,
2459949.6190,-3.128,0.011,,J,PGD,,HR1790,,,,1,,Z,,,,ALF ORI,AAVSO,STD,1,,,
2459949.6190,-3.917,0.010,,H,PGD,,HR1790,,,,1,,Z,,,,ALF ORI,AAVSO,STD,1,,,
2459950.04167,0.5,,,Vis.,WJD,,01,16,10-star tutorial,,,,Z,,,,alp ori,AAVSO,STD,,,,
2459950.23264,0.26,,,Vis.,SGQ,,bet Ori mv=0.13,,Tirion2000.0/Simbad,Ostia. Naked eye with airmass correction.,,,Z,,,,alf Ori,AAVSO,STD,,,,
2459950.3,0.3,,,Vis.,SPAO,B,03,09,2008,Moon,,,Z,,,,ALF Ori,UAI,STD,,,,
2459950.544,0.4,,,Vis.,AAX,BK,1,9,ATLAS,MOON BSC,,,Z,,,,ALF ORI,NEOA-JBS,STD,,,,
2459951.0972,0.3,,,Vis.,SRX,,01,04,n/a,,,,Z,,,,Alf Ori,AAVSO,STD,,,,
2459951.23340,0.1,,,Vis.,SSAB,BL,01,21,10-star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2459951.40972,0.3,,,Vis.,MPIB,BU,0.15 (Rigel),0.4 (Procyon),Stellarium 0.18.2,"""Strong Moonlight (almost full Moon), Cirrus clouds, very humid air. Naked eye observation. """,,,Z,,,,Betelgeuse,AAVSO,STD,,,,
